title,author,avg_rating,genre,price,currency,cover_url,link,cluster,pca_1,pca_2
Heart of Darkness,Joseph Conrad,3.43,Fiction,8.99,NAN,http://books.google.com/books/content?id=cWDcDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,0,-2.381790149138762,2.3359688181875895
Heartless,Marissa Meyer,4.06,Young Adult Fiction,8.99,NAN,http://books.google.com/books/content?id=YTM6CQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/18584855-heartless,0,-0.14850150101625995,0.1026801700650949
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.11,Comics & Graphic Novels,4.99,EUR,http://books.google.com/books/content?id=M91VEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40495957-heartstopper,0,-0.5327865059616701,-0.6360950964870681
"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,4.11,Young Adult Fiction,9.99,EUR,http://books.google.com/books/content?id=uNBxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/43449920-heartstopper,0,0.16912616372431238,0.06581757319891657
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.11,Young Adult Fiction,8.99,NAN,http://books.google.com/books/content?id=p2q_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/43307358-heartstopper,0,0.02874362978711589,-0.07456496073828037
"Heidi (Heidi, #1-2)",Johanna Spyri,4.04,Unknown,8.99,NAN,,https://www.goodreads.com/book/show/93.Heidi,0,-0.21939955333760774,0.17357822238644244
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45,Fiction,10.04,EUR,http://books.google.com/books/content?id=i49CAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/20613470-heir-of-fire,0,1.38141217988411,-1.132430189567158
Hello Beautiful,Ann Napolitano,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=J7Z9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/61771675-hello-beautiful,0,0.02874362978711589,-0.07456496073828037
Helter Skelter: The True Story of the Manson Murders,Vincent Bugliosi,4.11,Biography & Autobiography,8.99,NAN,http://books.google.com/books/content?id=Fiyw_LeL51MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/105992.Helter_Skelter,0,0.02874362978711589,-0.07456496073828037
"Heretical Fishing (Heretical Fishing, #1)",Haylock Jobson,4.11,Fiction,8.99,NAN,http://books.google.com/books/content?id=tmyj0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/208099994-heretical-fishing,0,0.02874362978711589,-0.07456496073828037
"Hex Hall (Hex Hall, #1)",Rachel Hawkins,3.96,Fiction,8.99,NAN,http://books.google.com/books/content?id=qPDOSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5287473-hex-hall,0,-0.5029917626230053,0.4571704316718391
"Hidden Bodies (You, #2)",Caroline Kepnes,3.87,Fiction,8.99,NAN,,https://www.goodreads.com/book/show/29430824-hidden-bodies,0,-0.8220329980690768,0.7762116671179097
