title,author,avg_rating,genre,published_year,price,currency,cover_url,link
The Beach,Alex Garland,4.113022312373225,Fiction,2005-07-05,,,http://books.google.com/books/content?id=cZWZ_Scx7u8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/607639.The_Beach
"Girl, Interrupted",Susanna Kaysen,4.113022312373225,Biography & Autobiography,2013-06-19,10.87,EUR,http://books.google.com/books/content?id=N4mdjv3tnNQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/68783.Girl_Interrupted
Everything is Illuminated,Jonathan Safran Foer,4.113022312373225,Fiction,2003-06-05,8.99,EUR,http://books.google.com/books/content?id=We4BgImVepgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/256566.Everything_is_Illuminated
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,4.113022312373225,,2023,,,,https://www.goodreads.com/book/show/13104080-unravel-me
A Room with a View,E.M. Forster,4.113022312373225,,2023,,,,https://www.goodreads.com/book/show/3087.A_Room_with_a_View
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.113022312373225,Young Adult Fiction,2018-11-06,8.88,EUR,http://books.google.com/books/content?id=kQ5zDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/16101128-the-5th-wave
World War Z: An Oral History of the Zombie War,Max Brooks,4.113022312373225,Fiction,2006-09-12,8.89,EUR,http://books.google.com/books/content?id=X4Z-6_UjUK8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8908.World_War_Z
The War of the Worlds,H.G. Wells,4.113022312373225,,1953,,,,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,4.113022312373225,Fiction,2021-02-16,11.3,EUR,http://books.google.com/books/content?id=97FmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
"A Discovery of Witches (All Souls, #1)",Deborah Harkness,4.113022312373225,Fiction,2018-05-08,17.77,EUR,http://books.google.com/books/content?id=POQxDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Macbeth,William Shakespeare,4.113022312373225,,2016-09-21,,,http://books.google.com/books/content?id=tfBSvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/8852.Macbeth
Bleak House,Charles Dickens,4.113022312373225,Fiction,2025-04-29,,,http://books.google.com/books/content?id=uBpaEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/31242.Bleak_House
"Chosen (House of Night, #3)",P.C. Cast,4.113022312373225,Juvenile Fiction,2009-02-26,4.49,EUR,http://books.google.com/books/content?id=Gjvj7-ZfW_EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/1326258.Chosen
"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,4.113022312373225,Fiction,1992,,,http://books.google.com/books/content?id=PAS-6ssTwD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley
The Woman in White,Wilkie Collins,4.113022312373225,Fiction,1991-10-15,,,http://books.google.com/books/content?id=BW1aAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/5890.The_Woman_in_White
Crash,J.G. Ballard,4.113022312373225,Fiction,1975,,,http://books.google.com/books/content?id=y9lXAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/70241.Crash
The Complete Poems of Emily Dickinson,Emily Dickinson,4.113022312373225,Young Adult Nonfiction,2021-11-15,10.99,EUR,http://books.google.com/books/content?id=HwFMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
"Unwind (Unwind, #1)",Neal Shusterman,4.113022312373225,Juvenile Fiction,2009-08-01,,,http://books.google.com/books/content?id=DcqpjkJSo5kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/764347.Unwind
انتحار فاشل,أحمد جمال الدين رمضان,4.113022312373225,,,,,,https://www.goodreads.com/book/show/30528535
North and South,Elizabeth Gaskell,4.113022312373225,Fiction,2022-09-04,0.49,EUR,http://books.google.com/books/content?id=gGaIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/156538.North_and_South
Brideshead Revisited,Evelyn Waugh,4.113022312373225,Fiction,2012-12-11,,,http://books.google.com/books/content?id=6o5cDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30933.Brideshead_Revisited
"Shadow and Bone (Shadow and Bone, #1)",Leigh Bardugo,4.113022312373225,Young Adult Fiction,2012-06-05,8.5,EUR,http://books.google.com/books/content?id=Mam8PZhfDCkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10194157-shadow-and-bone
Ugly Love,Colleen Hoover,4.113022312373225,Fiction,2014-08-05,12.85,EUR,http://books.google.com/books/content?id=QF1GAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17788401-ugly-love
Those Empty Eyes,Charlie Donlea,4.113022312373225,Fiction,2023-05-04,4.49,EUR,http://books.google.com/books/content?id=z_6pEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/62984900-those-empty-eyes
The God Delusion,Richard Dawkins,4.113022312373225,Religion,2009-09-22,9.49,EUR,http://books.google.com/books/content?id=grccDzrTWLUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/14743.The_God_Delusion
"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.113022312373225,Fiction,2020-10-01,10.04,EUR,http://books.google.com/books/content?id=dMwAEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/28260587-empire-of-storms
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.113022312373225,Fiction,2006-06-27,3.95,EUR,http://books.google.com/books/content?id=dG8disouIykC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.113022312373225,Fiction,1982,,,http://books.google.com/books/content?id=Mf5AAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/70535.2001
العصبي,أحمد جمال الدين رمضان,4.113022312373225,,,,,,https://www.goodreads.com/book/show/30528544
