title,author,avg_rating,genre,published_year,price,currency,cover_url,link
A Confederacy of Dunces,John Kennedy Toole,3.89,Classical fiction,2006.0,,None,http://books.google.com/books/content?id=lX5JPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces
The Lord of the Rings,J.R.R. Tolkien,4.54,Fiction,2024.0,,None,http://books.google.com/books/content?id=LRD9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Screwtape Letters,C.S. Lewis,4.27,Literary Collections,2023.0,,None,http://books.google.com/books/content?id=vkroEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/8130077-the-screwtape-letters
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,Young Adult Fiction,2016.0,5.49,EUR,http://books.google.com/books/content?id=36UwCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/22299763-crooked-kingdom
The Crucible,Arthur Miller,3.61,Drama,1976.0,8.08,EUR,http://books.google.com/books/content?id=KFZ3CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/17250.The_Crucible
Cat’s Cradle,Kurt Vonnegut Jr.,4.15,None,1973.0,,None,,https://www.goodreads.com/book/show/135479.Cat_s_Cradle
The Secret Magdalene,Ki Longfellow,4.14,Fiction,2007.0,5.04,EUR,http://books.google.com/books/content?id=bWO7wgDgtqwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/514811.The_Secret_Magdalene
Misery,Stephen        King,4.23,Fiction,2016.0,9.88,EUR,http://books.google.com/books/content?id=QbUACwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10614.Misery
The Wind in the Willows,Kenneth Grahame,4.02,Fiction,2010.0,6.11,EUR,http://books.google.com/books/content?id=3iiQDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/5659.The_Wind_in_the_Willows
A Light in the Attic,Shel Silverstein,4.36,Juvenile Fiction,2020.0,12.99,EUR,http://books.google.com/books/content?id=5w-qDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/30118.A_Light_in_the_Attic
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,Young Adult Fiction,2010.0,8.99,EUR,http://books.google.com/books/content?id=8FswGzEr26QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6479259-spirit-bound
The Phantom of the Opera,Gaston Leroux,3.96,Juvenile Fiction,2025.0,7.9,EUR,http://books.google.com/books/content?id=bNUnEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,Fiction,2003.0,8.09,EUR,http://books.google.com/books/content?id=ZfiREZrremoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,Juvenile Fiction,2011.0,,None,http://books.google.com/books/content?id=XEouBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.48,History,1974.0,,None,http://books.google.com/books/content?id=bAdGjSPajlIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/561909.The_Hiding_Place
The God of Small Things,Arundhati Roy,3.96,Fiction,2002.0,,None,http://books.google.com/books/content?id=0mhCpXdzLt4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9777.The_God_of_Small_Things
Blindness,José Saramago,4.18,Drama,1999.0,,None,http://books.google.com/books/content?id=9ab5g1_ghuQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/40495148-blindness
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,None,2006.0,,None,,https://www.goodreads.com/book/show/24337.Ella_Enchanted
The House of the Spirits,Isabel Allende,4.29,Fiction,2015.0,13.84,EUR,http://books.google.com/books/content?id=EbypCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,Fiction,2010.0,9.27,EUR,http://books.google.com/books/content?id=OHclhBVv-X4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/7235533-the-way-of-kings
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.42,None,2023.0,,None,http://books.google.com/books/content?id=fZCezwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/60288648-the-chain-between-worlds
Girl with a Pearl Earring,Tracy Chevalier,3.93,Fiction,2009.0,6.29,EUR,http://books.google.com/books/content?id=2XVt8Zrpy0kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring
"Uglies (Uglies, #1)",Scott Westerfeld,3.84,Juvenile Fiction,2011.0,,None,http://books.google.com/books/content?id=6hrbAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/24770.Uglies
The Wind-Up Bird Chronicle,Haruki Murakami,4.14,Fiction,2011.0,8.99,EUR,http://books.google.com/books/content?id=-0tzfDCatVEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,Biography & Autobiography,2006.0,,None,http://books.google.com/books/content?id=enqBRs-kQUAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://www.goodreads.com/book/show/12691.Marley_and_Me
