title,author,rating,link,cover_url,genre,price,published_year
"The Black Dahlia Ellroy, James ( Author ) Aug-01-2006 Paperback",James Ellroy,3.78 avg rating,https://www.goodreads.com/book/show/128765450-the-black-dahlia-ellroy-james-author-aug-01-2006-paperback,,,,
Cyrano de Bergerac,Edmond Rostand,4.06 avg rating,https://www.goodreads.com/book/show/15638.Cyrano_de_Bergerac,,,,
High-Rise,J.G. Ballard,3.60 avg rating,https://www.goodreads.com/book/show/12331767-high-rise,,,,
"Slammed (Slammed, #1)",Colleen Hoover,4.14 avg rating,https://www.goodreads.com/book/show/30333938-slammed,,,,
The Killer Inside Me,Jim Thompson,3.86 avg rating,https://www.goodreads.com/book/show/298663.The_Killer_Inside_Me,,,,
"Acheron (Dark-Hunter, #14)",Sherrilyn Kenyon,4.56 avg rating,https://www.goodreads.com/book/show/2299110.Acheron,,,,
The Holy Bible: King James Version,Anonymous,4.45 avg rating,https://www.goodreads.com/book/show/1923820.The_Holy_Bible,,,,
The Glass Menagerie,Tennessee Williams,3.74 avg rating,https://www.goodreads.com/book/show/92517.The_Glass_Menagerie,,,,
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29 avg rating,https://www.goodreads.com/book/show/62986809-pericles-and-aspasia,,,,
"World Without End (Kingsbridge, #2)",Ken Follett,4.32 avg rating,https://www.goodreads.com/book/show/5064.World_Without_End,,,,
